------------------------------
ID: 23445334_2742351
Report type: position_tracking_rankings_overview
Period: 20260425 - 20260501
Keyword difficulty filter: KD >= 0 and KD <= 50
Linktype filter: !geo&!hot
------------------------------

Keyword,*.k4studios.com/*_20260501,*.k4studios.com/*_20260501_visibility,*.k4studios.com/*_20260501_type,*.k4studios.com/*_20260501_landing,*.k4studios.com/*_difference,*.k4studios.com/*_visibility_difference,Tags,Intents,CPC,Search Volume,Keyword Difficulty
cool cowboy art,-,0.00000,,,-,0.00000,,i|c,n/a,90,9
cowboy decor ideas,-,0.00000,,,-,0.00000,,c,0.34,90,19
railway photography,-,0.00000,,,-,0.00000,,i,n/a,90,16
retro vintage cowboy art,-,0.00000,,,-,0.00000,,i|c,n/a,90,14
vintage old west,-,0.00000,,,-,0.00000,,c,0.20,90,11
vintage western artwork,-,0.00000,,,-,0.00000,,c,0.46,90,13
vintage western photos,-,0.00000,,,-,0.00000,,c,0.59,90,16
vintage western pictures,-,0.00000,,,-,0.00000,,c,n/a,90,26
western artwork for sale,-,0.00000,,,-,0.00000,,t,0.67,90,4
western paintings for sale,-,0.00000,,,-,0.00000,,t,0.54,90,10
western photographer,-,0.00000,,,-,0.00000,,i,n/a,90,15
western photographers,35,0.00773,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,-3,-0.00064,,i,n/a,90,18
western themed art,-,0.00000,,,-,0.00000,,c,1.17,90,3
cool cowboy pictures,-,0.00000,,,-,0.00000,,i,n/a,70,23
cowboy portrait painting,24,0.01009,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,17,0.00365,,c,n/a,70,6
reenactment photography,9,0.03219,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Miscellaneous/Reenactments,-8,-0.35843,,i,n/a,70,0
vintage western images,-,0.00000,,,-,0.00000,,c,n/a,70,22
western artwork prints,-,0.00000,,,-,0.00000,,c,0.60,70,15
western landscape drawings,-,0.00000,,,-,0.00000,,i,n/a,70,6
western photography prints,36,0.00751,organic,https://www.k4studios.com/Western-Fine-Art-Photography,-1,-0.00021,,c,1.16,70,11
western theme art,-,0.00000,,,-,0.00000,,c,1.17,70,4
western theme photoshoot,-,0.00000,,,-,0.00000,,i,n/a,70,7
western vintage cowboy art,34,0.00794,organic,https://www.k4studios.com/vintage-western-art,1,0.00021,,i|c,0.46,70,2
art of the american west,19,0.01180,organic,https://www.k4studios.com/Art-of-the-American-West,4,0.00150,,i|c,0.98,50,26
cowboy pictures black and white,35,0.00773,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,-4,-0.00086,,c,0.42,50,11
cowboy portraits,12,0.01610,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,5,0.00365,,c,n/a,50,12
legends of the west fine art,-,0.00000,,,-,0.00000,,n,n/a,50,24
old west poster,-,0.00000,,,-,0.00000,,i|c,0.39,50,19
reenacting photos,24,0.01009,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Miscellaneous/Reenactments,-9,-0.00333,,i,n/a,50,31
vintage cowboy pics,-,0.00000,,,-,0.00000,,c,0.99,50,23
vintage cowboy wall art,-,0.00000,,,-,0.00000,,c,0.43,50,4
western landscape photography,38,0.00708,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Location/West/Gallery,-1,-0.00021,,i,0.92,50,0
western style interior design,-,0.00000,,,-,0.00000,,i,0.66,50,24
wild west photoshoot,-,0.00000,,,-,0.00000,,i,0.53,50,4
wyoming photography,-,0.00000,,,-,0.00000,,c,0.66,50,22
artwork western,-,0.00000,,,-,0.00000,,c,0.63,40,0
black and white western photography,9,0.03219,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,7,0.01932,,c,0.77,40,8
vintage cowboy art prints,-,0.00000,,,-,0.00000,,t,0.35,40,4
western house interior design,-,0.00000,,,-,0.00000,,i,n/a,40,20
western prints for sale,-,0.00000,,,-,0.00000,,t,0.49,40,3
western wall art decor,-,0.00000,,,-,0.00000,,i|c,0.43,40,0
reenactor photography,3,0.10195,organic,https://www.k4studios.com/Historical-Reenactment-Photography,-2,-0.28868,,i,n/a,30,5
western cowboy photography,30,0.00880,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,-8,-0.00172,,i|c,n/a,30,18
western fine art photography,13,0.01502,organic,https://www.k4studios.com/Western-Fine-Art-Photography,4,0.00258,,c,0.61,30,5
western themed photography,7,0.04078,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,13,0.02951,,i,n/a,30,11
western themed portrait photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,1,0.25648,,i,n/a,30,7
1800s cowboy art,-,0.00000,,,-,0.00000,,c,n/a,20,30
art of the old west,-,0.00000,,,-,0.00000,,i|c,n/a,20,15
black and white cowboy photography,14,0.01395,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,0,0.00000,,i|c,1.43,20,13
black and white cowboy portrait,12,0.01610,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,8,0.00483,,i|c,n/a,20,19
black and white western wall art,29,0.00901,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,-5,-0.00107,,i|c,0.48,20,3
cowboy themed pictures,-,0.00000,,,-,0.00000,,i|c,n/a,20,36
cowboy vintage art,-,0.00000,,,-,0.00000,,c,n/a,20,11
cowboys wild west history,-,0.00000,,,-,0.00000,,i,n/a,20,36
fine art canadian rockies photography,36,0.00751,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Landscapes/By-Location/International/Canada-Western,-7,-0.00150,,c,n/a,20,3
fine art mountain photography,-,0.00000,,,-,0.00000,,c,n/a,20,22
fine art painterly photography,1,0.39063,ai overview,https://www.k4studios.com/Blog/what-is-painterly-photography,0,0.00000,,i,n/a,20,12
fine art western,36,0.00751,organic,https://www.k4studios.com/Western-Fine-Art-Photography,-3,-0.00064,,i|c,n/a,20,17
old west cowboy art,-,0.00000,,,-,0.00000,,i|c,n/a,20,14
painterly landscape photography,6,0.04400,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography,-3,-0.05795,,i|t,n/a,20,13
the art of the old west,-,0.00000,,,-,0.00000,,i,n/a,20,2
vintage train photography,17,0.01245,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,1,0.00032,,i,n/a,20,27
vintage western photography,-,0.00000,,,-,0.00000,,c,n/a,20,25
western art photography,32,0.00837,organic,https://www.k4studios.com/Western-Photography-Prints,-1,-0.00021,,c,1.05,20,0
western black and white photography,16,0.01288,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,-3,-0.00215,,i|c,0.77,20,8
western fine art,-,0.00000,,,-,0.00000,,i,0.89,20,13
western frontier art,17,0.01245,organic,https://www.k4studios.com/wild-west-art,7,0.00236,,i|c,n/a,20,21
western home interior design,-,0.00000,,,-,0.00000,,i,n/a,20,15
western themed wall art,-,0.00000,,,-,0.00000,,c,0.47,20,16
wild west cowboy art,-,0.00000,,,-,0.00000,,i|c,n/a,20,7
wild west frontier art,13,0.01502,organic,https://www.k4studios.com/wild-west-art,-8,-0.05044,,i|c,n/a,20,15
wild west outlaw art,-,0.00000,,,-,0.00000,,c,n/a,20,27
wild west wall art,-,0.00000,,,-,0.00000,,c,0.61,20,16
wild wild west art,29,0.00901,organic,https://www.k4studios.com/wild-west-art,-7,-0.00150,,i,n/a,20,10
civil war themed photography,19,0.01180,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Civil-War-Portraits,-18,-0.37882,,i,n/a,10,0
cowboy fine art prints,-,0.00000,,,-,0.00000,,c,n/a,10,6
cowboy themed artwork,-,0.00000,,,-,0.00000,,i|c,n/a,10,6
cowboy themed photography,-,0.00000,,,-,0.00000,,c,n/a,10,15
d'day ohio photos,-,0.00000,,,-,0.00000,,i,n/a,10,14
fine art cowboy photography,18,0.01213,organic,https://www.k4studios.com/western-photos,6,0.00204,,c,n/a,10,12
fine art faroe islands photography,10,0.02361,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Landscapes/By-Location/International/The-Faroe-Islands,-3,-0.01717,,i,n/a,10,3
fine art iceland photography,-,0.00000,,,-,0.00000,,i,n/a,10,22
fine art international photography,-,0.00000,,,-,0.00000,,i,n/a,10,0
fine art of the west,26,0.00966,organic,https://www.k4studios.com/Blog/what-is-western-fine-art,-12,-0.00429,,c,n/a,10,10
fine art plane photography,33,0.00816,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Planes,-6,-0.00129,,c,n/a,10,19
fine art sunrise photography,-,0.00000,,,-,0.00000,,c,n/a,10,11
fine art sunset photography,-,0.00000,,,-,0.00000,,c,n/a,10,19
fine art train photography,4,0.08478,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,0,0.00000,,i,n/a,10,7
fine art waterfall photography,-,0.00000,,,-,0.00000,,i|c,1.69,10,14
fine art western photography,15,0.01341,organic,https://www.k4studios.com/Western-Fine-Art-Photography,4,0.00161,,i,1.35,10,9
fine western art,-,0.00000,,,-,0.00000,,c,0.89,10,15
historical themed photography,3,0.10195,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History,97,0.10195,,i,n/a,10,39
historically themed photography,12,0.01610,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History,-6,-0.02790,,i,n/a,10,46
history inspired photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History,13,0.37667,,i,n/a,10,38
old west cowboy photography,-,0.00000,,,-,0.00000,,i,n/a,10,21
old west fine art prints,17,0.01245,organic,https://www.k4studios.com/Western-Wall-Art,83,0.01245,,c,n/a,10,10
old west inspired photography,-,0.00000,,,-,0.00000,,i,n/a,10,17
painterly car photography,1,0.39063,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Transportation/Cars,0,0.00000,,i|t,n/a,10,27
painterly fine art photography,7,0.04078,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography,-3,-0.04400,,i|t,n/a,10,17
painterly sunset photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Theme/Sunsets,0,0.00000,,i,n/a,10,18
painterly train photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Transportation/Trains-Black-White,0,0.00000,,i,n/a,10,7
photography of trains,13,0.01502,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,2,0.00161,,i,0.63,10,31
roaring 20s inspired photography,21,0.01073,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Roaring-20s-Portraits,9,0.00193,,i,n/a,10,0
rustic mountain photos,-,0.00000,,,-,0.00000,,i,n/a,10,0
western fine art paintings,-,0.00000,,,-,0.00000,,c,n/a,10,11
western home art,-,0.00000,,,-,0.00000,,c,n/a,10,15
western interior designer,-,0.00000,,,-,0.00000,,i,n/a,10,13
western mountain photography,4,0.08478,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Landscapes/By-Location/West/Gallery,2,0.04078,,i,n/a,10,16
western painterly photography,1,0.39063,organic,https://www.k4studios.com/Painterly-Western-Photography,1,0.25648,,i,n/a,10,9
western photographs,42,0.00633,organic,https://www.k4studios.com/Western-Fine-Art-Photography,-3,-0.00054,,i,0.52,10,33
western photography art,8,0.03756,organic,https://www.k4studios.com/Western-Photography-Prints,19,0.02812,,c,1.51,10,7
wild west cowboy photography,24,0.01009,organic,https://www.k4studios.com/Western-Cowboy-Photography,-5,-0.00172,,i,n/a,10,24
wild west fine art prints,-,0.00000,,,-,0.00000,,c,n/a,10,12
wild west inspired photography,-,0.00000,,,-,0.00000,,i,n/a,10,6
wild west themed photography,-,0.00000,,,-,0.00000,,i,n/a,10,16
wwii inspired photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,11,0.37453,,i,n/a,10,24
wwii reenactment photography,3,0.10195,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,5,0.06439,,i,n/a,10,2
wwii themed photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,0,0.00000,,i,n/a,10,32
art of the western frontier,10,0.02361,organic,https://www.k4studios.com/Western-Frontier-Art,0,0.00000,,i,n/a,n/a,18
artistic western photography,12,0.01610,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,7,0.00429,,i,n/a,n/a,16
authentic cowboy life,30,0.00880,organic,https://www.k4studios.com/authentic-cowboy-life,-11,-0.00300,,i,n/a,n/a,26
civil war inspired photography,-,0.00000,,,-,0.00000,,i,n/a,n/a,20
civil war themed art,-,0.00000,,,-,0.00000,,c,n/a,n/a,23
civil war themed fine art,12,0.01610,organic,https://www.k4studios.com/Civil-War-Art,88,0.01610,,c,n/a,n/a,25
cowboy fine art photography,20,0.01127,organic,https://www.k4studios.com/Cowboy-Fine-Art-Photography,-4,-0.00161,,i,n/a,n/a,6
fine art car photograph,28,0.00923,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Transportation/Cars,-3,-0.00064,,c,n/a,n/a,17
fine art photography of the american west,2,0.13414,organic,https://www.k4studios.com/Fine-Art-Photography-of-the-American-West,19,0.12341,,c,n/a,n/a,8
fine art reenactment photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Fine-Art-Photography/Miscellaneous/Reenactments,1,0.25648,,i,n/a,n/a,2
fine art steam train photography,2,0.13414,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Transportation,5,0.09336,,c,n/a,n/a,4
historical themed western photography,21,0.01073,organic,https://www.k4studios.com/Western-Fine-Art-Photography,-1,-0.00054,,i,n/a,n/a,14
historical western photography,29,0.00901,organic,https://www.k4studios.com/Western-Cowboy-Photography,-5,-0.00107,,i,n/a,n/a,26
history inspired artwork,-,0.00000,,,-,0.00000,,c,n/a,n/a,16
history of the wild west cowboy,-,0.00000,,,-,0.00000,,i,n/a,n/a,0
iconic western photography,29,0.00901,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,-28,-0.38161,,i,n/a,n/a,28
limited edition western photography,7,0.04078,organic,https://www.k4studios.com/Western-Photography-Prints,4,0.01932,,c,n/a,n/a,1
narrative western art,1,0.39063,ai overview,https://www.k4studios.com/Narrative-Western-Art,0,0.00000,,i,n/a,n/a,9
painterly cowboy photography,1,0.39063,ai overview,https://www.k4studios.com/Cowboy-Fine-Art-Photography,0,0.00000,,i,n/a,n/a,11
painterly fine art landscape photography,1,0.39063,ai overview,https://www.k4studios.com/Blog/what-is-painterly-photography,0,0.00000,,i,n/a,n/a,7
painterly mountain photography,1,0.39063,ai overview,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Landscapes,0,0.00000,,i,n/a,n/a,16
painterly western photography,1,0.39063,organic,https://www.k4studios.com/Painterly-Western-Photography,0,0.00000,,i,n/a,n/a,8
roaring 20s themed photography,-,0.00000,,,-,0.00000,,i,n/a,n/a,28
rustic cowboy photo,-,0.00000,,,-,0.00000,,c,n/a,n/a,31
steam locomotive photo,-,0.00000,,,-,0.00000,,i,0.36,n/a,0
steam locomotive photography,17,0.01245,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,14,0.00386,,i,n/a,n/a,35
vintage cowboy art photography,41,0.00644,organic,https://www.k4studios.com/vintage-western-art,-8,-0.00172,,c,n/a,n/a,16
vintage themed western photography,-,0.00000,,,-,0.00000,,c,n/a,n/a,0
western cowboy portraits,12,0.01610,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,4,0.00322,,c,n/a,n/a,14
western fine art photography collection,1,0.39063,ai overview,https://www.k4studios.com/Western-Fine-Art-Photography,0,0.00000,,i|c,n/a,n/a,3
western fine art prints,-,0.00000,,,-,0.00000,,c,n/a,n/a,0
western frontier art prints,35,0.00773,organic,https://www.k4studios.com/American-Western-Art,-6,-0.00129,,c,n/a,n/a,10
western home interior design art,13,0.01502,organic,https://www.k4studios.com/Rustic-Western-Interior-Design-Art,3,0.00215,,c,n/a,n/a,11
western inspired photography,23,0.01030,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,-4,-0.00150,,i,n/a,n/a,13
western photography fine art prints,23,0.01030,organic,https://www.k4studios.com/Western-Fine-Art-Photography,-1,-0.00021,,c,n/a,n/a,8
western portrait art,22,0.01052,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,78,0.01052,,c,n/a,n/a,27
western style design decor,-,0.00000,,,-,0.00000,,c,n/a,n/a,25
wild west painterly photography,1,0.39063,ai overview,https://www.k4studios.com/Cowboy-Fine-Art-Photography,0,0.00000,,i,n/a,n/a,13
wwii themed fine art photography,1,0.39063,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,0,0.00000,,i,n/a,n/a,14
www battle photography,-,0.00000,,,-,0.00000,,i|t,n/a,n/a,0
