keyword,volume,kd,intent,rank,rankBucket,cluster,currentPath,matchedRepoPage,intended,currentLandingCorrect,cannibalizationRisk,recommendedAction,priority,currentPageType,intendedPageType,semEntry,semPhrase,title,h1,metaDescription,canonical,schema
wild west frontier art,20,15,i|c,13,11-20,Wild West / frontier,/wild-west-art,yes,/wild-west-art,yes,,strengthen existing page,73,doorway / hub,doorway / hub,,,Wild West Art | Frontier Artwork by Wayne Heim - K4 Studios,Wild West Art,"Wild West art by Wayne Heim featuring frontier narratives, painterly Wild West artwork, and historically inflected imagery grounded in atmosphere and story.",https://www.k4studios.com/wild-west-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
wild wild west art,20,10,i,29,21-40,Wild West / frontier,/wild-west-art,yes,/wild-west-art,yes,,strengthen existing page,73,doorway / hub,doorway / hub,,,Wild West Art | Frontier Artwork by Wayne Heim - K4 Studios,Wild West Art,"Wild West art by Wayne Heim featuring frontier narratives, painterly Wild West artwork, and historically inflected imagery grounded in atmosphere and story.",https://www.k4studios.com/wild-west-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
cowboy artwork,1600,16,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,72,missing,doorway / hub,westernWallArtHub,cowboy artwork,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western paintings,1300,15,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,72,missing,doorway / hub,,,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
old western paintings,210,10,c,-,Unranked,Vintage Western / Old West,,no,/vintage-western-art,no current landing,,strengthen/build commercial doorway target,72,missing,doorway / hub,,,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western cowboy art,170,2,i|c,-,Unranked,Broad commercial Western / cowboy art,,no,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,no current landing,,strengthen/build commercial doorway target,72,missing,gallery,cowboy,western cowboy art,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
wild west photoshoot,50,4,i,-,Unranked,Wild West / frontier,,no,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Wild-West,no current landing,,build supporting article/page or strengthen target,72,missing,gallery,,,Wild West Photography - Wayne Heim,Wild West — Art of The American Frontier,"Wild West photography by Wayne Heim: painterly frontier images of legend, labor, endurance, and the human lives beneath the myth of the American West.",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Wild-West,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
civil war themed photography,10,0,i,19,11-20,History / reenactment / war,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Civil-War-Portraits,yes,/Civil-War-Art,review,possible,improve internal linking to intended target without disturbing winner,72,gallery,doorway / hub,,,Civil War Portraits,Civil War Portraits - Historically Themed Fine Art Photography by Wayne Heim,"Civil War portraits and painterly reenactment photography by Wayne Heim, focused on the people, sacrifice, and history of the era.",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Civil-War-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person
fine art cowboy photography,10,12,c,18,11-20,Cowboy / Western portraits,/western-photos,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,review,possible,improve internal linking to intended target without disturbing winner,72,doorway / hub,gallery,cowboy,fine art cowboy photography,Western Photos | Fine Art Photography of the American West,Western Photos,"Explore Western photos featuring cinematic cowboy scenes, portraits, and landscapes of the American West. Fine art photography with a painterly, storytelling...",https://www.k4studios.com/western-photos,CollectionPage; WebSite; Thing; ItemList; ListItem; BreadcrumbList
western art,4400,18,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Blog/what-is-western-art,no current landing,,strengthen/build commercial doorway target,71,missing,definition blog,westernArtDefinition,western art,"What Is Western Art? History, Meaning, and the Evolution | K4 Studios",What Is Western Art?,"Western art is more than cowboys and sunsets. Explore the history, meaning, and evolution of Western art from frontier paintings to contemporary photography.",https://www.k4studios.com/Blog/what-is-western-art,Article; WebPage; Person; Organization; ImageObject; DefinedTerm; BreadcrumbList; ListItem
cowboy photography,210,16,i,-,Unranked,Cowboy / Western portraits,,no,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,no current landing,,build supporting article/page or strengthen target,71,missing,gallery,westernCowboyHub,cowboy photography,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
