index,id,title,length,score,tier,subjectMissing,locationMissing,intentMissing,salesTone
50,i-7vSccct,"No Room for Error",458,4,MEDIUM,0,1,1,0
51,i-m3DqTjX,"Where the Story Points",443,6,HIGH,1,1,0,0
52,i-sGW55ch,"Before the Eyes of the Hills",351,5,MEDIUM,0,1,0,1
53,i-gQmqxZJ,"The Weight of Feathers",465,3,LIGHT,0,1,0,0
54,i-nZbDC9C,"Held by Memory",513,5,MEDIUM,0,1,1,0
55,i-KG7ZwXT,"The Waterline",508,4,MEDIUM,0,1,0,0
56,i-tfZTHXq,"Held on the Sight",486,3,LIGHT,0,1,0,0
57,i-8NsWqJQ,"Before the Strike Is Named",703,8,HIGH,0,1,1,1
58,i-6vszqTK,"What the River Took",447,2,LIGHT,0,0,0,0
59,i-7zpT5Hs,"Watcher on the River",524,3,LIGHT,0,0,0,0
60,i-wmDznTm,"Drawn Before Thought",475,3,LIGHT,0,1,0,0
61,i-LwWLjbH,"Held on the Current",474,2,LIGHT,0,0,0,0
62,i-kVr4LnG,"Under Open Sky",453,3,LIGHT,0,1,0,0
63,i-zDcr5T3,"Standing at Ease",450,3,LIGHT,0,1,0,0
64,i-xfVhZw7,"After the Drums Fade",412,3,LIGHT,0,1,0,0
65,i-rR76nKr,"The Effort Shows",469,3,LIGHT,0,1,0,0
66,i-qnRRJK2,"Carried by the Cry",673,7,HIGH,0,1,0,1
67,i-fCSxt3j,"The Long Line Home",451,4,MEDIUM,0,1,1,0
68,i-7CjNq8p,"He Carries the Quiet",564,4,MEDIUM,0,1,0,0
69,i-B3mmMvb,"Still Before the Wind",464,3,LIGHT,0,1,0,0
70,i-vP6ZvBw,"Bearing the Morning",480,3,LIGHT,0,1,0,0
71,i-FJWqP6b,"The Weight of the Draw",649,6,HIGH,0,1,0,0
72,i-BJWt4zd,"Still Enough to Hear It",635,6,HIGH,0,1,0,0
73,i-jWFcDHr,"Breath Before Thunder",361,6,HIGH,0,1,1,1
74,i-qFwnr64,"The Higher Silence",599,5,MEDIUM,0,1,1,0
75,i-StJWnTh,"He Stands Ready",525,4,MEDIUM,0,1,0,0
76,i-567K6d3,"Across Quiet Water",431,3,LIGHT,0,1,0,0
77,i-JbWnV3V,"Unspoken Lineage",506,4,MEDIUM,0,1,0,0
78,i-RwCs5gt,"The Camp Holds",421,4,MEDIUM,0,1,1,0
79,i-zjtVmT8,"Through Still Waters",370,6,HIGH,0,1,1,1
80,i-FBQjX95,"The Draw Holds",453,3,LIGHT,0,1,0,0
81,i-9FCHdBp,"Watching the Sky Settle",471,4,MEDIUM,0,1,1,0
82,i-bWw2GPZ,"The Weight Between Steps",476,3,LIGHT,0,1,0,0
83,i-48G2HVM,"Carrying What Remains",422,6,HIGH,0,1,1,0
84,i-VVwZ7gM,"Brothers of the Open Country",557,7,HIGH,0,0,1,1
85,i-RnKtV3Z,"The Higher Silence",599,5,MEDIUM,0,1,1,0
86,i-q3f95K3,"Held in Profile",443,3,LIGHT,0,1,0,0
87,i-sSHtMSC,"Before the Trigger Breaks",447,3,LIGHT,0,1,0,0
88,i-Jbxc4G6,"Still Enough to Aim",547,4,MEDIUM,0,1,0,0
